bug_id,tool,python_tag,failure_type,specific_cause,stack_signature,failure_id,status,package,version,artifact,artifact_type,pyc_path,artifact_path,stdout_file,stderr_file
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-tcrdi,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5-py2.py3-none-any.whl,wheel,clustcrdist/constants/modules/tcrdist/__pycache__/translation.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5-py2.py3-none-any.whl,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-tcrdi/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-tcrdi/stderr.txt
rq2-decompyle3-e17af279bca3,decompyle3,cpython-39,EOFError,uncaught marshal data too short,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-tcrdi,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5-py2.py3-none-any.whl,wheel,clustcrdist/constants/modules/tcrdist/__pycache__/util.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5-py2.py3-none-any.whl,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-tcrdi/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-tcrdi/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/olga/__pycache__/__init__.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o/stderr.txt
rq2-decompyle3-e17af279bca3,decompyle3,cpython-39,EOFError,uncaught marshal data too short,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/olga/__pycache__/generation_probability.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/olga/__pycache__/load_model.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o/stderr.txt
rq2-decompyle3-e17af279bca3,decompyle3,cpython-39,EOFError,uncaught marshal data too short,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/olga/__pycache__/preprocess_generative_model_and_data.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/olga/__pycache__/sequence_generation.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/olga/__pycache__/utils.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/__init__.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/all_genes.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/amino_acids.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/basic.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/genetic_code.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/html_colors.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/infer_cdr3_nucleotides.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/logo_tools.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/make_10x_clones_file.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/make_really_tall_trees.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/make_tcr_logo.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/make_tcr_trees.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/score_trees_devel.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/tcr_distances.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
rq2-decompyle3-e17af279bca3,decompyle3,cpython-39,EOFError,uncaught marshal data too short,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/tcr_distances_blosum.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/tcr_sampler.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
rq2-marshal-8f98856658d1,marshal,cpython-39,EOFError,marshal data too short,<stdin>:load_code_candidates,cpython-39-marshal-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-tcrd,error,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/tcrdist_svg_basic.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-marshal-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-tcrd/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-marshal-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-tcrd/stderr.txt
rq2-decompyle3-d72f6c756b02,decompyle3,cpython-39,SystemError,uncaught code-object construction exception,,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/tcrdist_svg_basic.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/translation.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
rq2-decompyle3-e17af279bca3,decompyle3,cpython-39,EOFError,uncaught marshal data too short,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,tar,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/util.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-t/stderr.txt
